AGE BP,Site 2,Site 3 ,Site 4,Site 20 ,Site 21
2250,14.04,9.43,,,
2251,4.08,14,,,
2252,7.7,21.28,,,
2253,4.98,8.52,,,
2254,5.43,2.65,,,
2255,9.51,5.14,,,
2256,9.06,12.08,,,
2257,4.98,7.68,,,
2258,4.08,11.74,,,
2259,5.43,20.72,,,
2260,9.96,4.63,,,
2261,9.96,9.88,,,
2262,6.79,8.18,,,
2263,7.24,9.03,,,
2264,4.08,9.88,,,
2265,4.98,9.03,,,
2266,3.17,6.27,,,
2267,3.62,6.49,,,
2268,4.08,46.8,,,
2269,5.89,3.67,,,
2270,5.43,4.06,,,
2271,2.72,4.97,,,
2272,4.08,15.81,,,
2273,4.08,9.88,,,
2274,35.77,32.63,,,
2275,12.68,8.47,,,
2276,3.62,13.21,,,
2277,1.36,8.07,,,
2278,4.08,11.23,,,
2279,2.72,11.8,,,
2280,3.17,16.09,,,
2281,2.26,5.14,,,
2282,4.53,8.58,,,
2283,3.62,4.57,,,
2284,3.17,7.23,,,
2285,6.34,21.73,,,
2286,2.72,8.86,,,
2287,4.08,6.44,,,
2288,3.17,8.98,,,
2289,3.62,7.56,,,
2290,9.06,5.87,,,
2291,7.7,8.3,,,
2292,5.89,7.28,,,
2293,13.13,12.14,,,
2294,6.79,5.87,,,
2295,6.79,4.91,,,
2296,3.62,13.04,,,
2297,7.7,4.57,,,
2298,2.26,5.02,,,
2299,2.72,3.44,,,
2300,1.81,5.93,,,
2301,3.62,5.36,,,
2302,4.08,5.08,,,
2303,2.72,5.87,,,
2304,4.08,4.57,,,
2305,52.98,6.21,,,
2306,3.17,5.02,,,
2307,3.17,56.39,,,
2308,4.08,6.32,,,
2309,17.21,4.12,,,
2310,6.34,2.6,,,
2311,2.72,4.69,,,
2312,1.81,5.31,,,
2313,4.08,7.23,,,
2314,3.17,3.16,,,
2315,2.72,5.93,,,
2316,2.72,8.58,,,
2317,3.17,8.02,,,
2318,3.62,4.23,,,
2319,5.43,1.69,,,
2320,,5.93,,,
2321,,9.2,,,
